id,familia,nome_cientifico,nome_comum,sons,fotos,url,url_sons,url_fotos
10001,Rheidae,Rhea americana,ema,22,6790,/wiki/ema,midias.php?tm=s&t=s&s=10001,midias.php?tm=f&t=s&s=10001
10002,Tinamidae,Tinamus tao,azulona,44,154,/wiki/azulona,midias.php?tm=s&t=s&s=10002,midias.php?tm=f&t=s&s=10002
10003,Tinamidae,Tinamus solitarius,macuco,277,2009,/wiki/macuco,midias.php?tm=s&t=s&s=10003,midias.php?tm=f&t=s&s=10003
10004,Tinamidae,Tinamus major,inhambu-serra,33,173,/wiki/inhambu-serra,midias.php?tm=s&t=s&s=10004,midias.php?tm=f&t=s&s=10004
10005,Tinamidae,Tinamus guttatus,inhambu-galinha,39,69,/wiki/inhambu-galinha,midias.php?tm=s&t=s&s=10005,midias.php?tm=f&t=s&s=10005
10006,Tinamidae,Crypturellus cinereus,inhambu-pixuna,340,159,/wiki/inhambu-pixuna,midias.php?tm=s&t=s&s=10006,midias.php?tm=f&t=s&s=10006
10007,Tinamidae,Crypturellus soui,tururim,415,398,/wiki/tururim,midias.php?tm=s&t=s&s=10007,midias.php?tm=f&t=s&s=10007
10008,Tinamidae,Crypturellus obsoletus,inhambuguaçu,1103,2229,/wiki/inhambuguacu,midias.php?tm=s&t=s&s=10008,midias.php?tm=f&t=s&s=10008
10009,Tinamidae,Crypturellus undulatus,jaó,594,1487,/wiki/jao,midias.php?tm=s&t=s&s=10009,midias.php?tm=f&t=s&s=10009
10010,Tinamidae,Crypturellus strigulosus,inhambu-relógio,119,112,/wiki/inhambu-relogio,midias.php?tm=s&t=s&s=10010,midias.php?tm=f&t=s&s=10010
10011,Tinamidae,Crypturellus duidae,inhambu-de-pé-cinza,13,9,/wiki/inhambu-de-pe-cinza,midias.php?tm=s&t=s&s=10011,midias.php?tm=f&t=s&s=10011
10012,Tinamidae,Crypturellus erythropus,inhambu-de-perna-vermelha,16,13,/wiki/inhambu-de-perna-vermelha,midias.php?tm=s&t=s&s=10012,midias.php?tm=f&t=s&s=10012
12002,Tinamidae,Crypturellus zabele,zabelê,126,71,/wiki/zabele,midias.php?tm=s&t=s&s=12002,midias.php?tm=f&t=s&s=12002
10013,Tinamidae,Crypturellus noctivagus,jaó-do-sul,214,647,/wiki/jao-do-sul,midias.php?tm=s&t=s&s=10013,midias.php?tm=f&t=s&s=10013
10014,Tinamidae,Crypturellus atrocapillus,inhambu-de-coroa-preta,21,27,/wiki/inhambu-de-coroa-preta,midias.php?tm=s&t=s&s=10014,midias.php?tm=f&t=s&s=10014
10015,Tinamidae,Crypturellus variegatus,inhambu-anhangá,98,105,/wiki/inhambu-anhanga,midias.php?tm=s&t=s&s=10015,midias.php?tm=f&t=s&s=10015
10016,Tinamidae,Crypturellus brevirostris,inhambu-carijó,2,3,/wiki/inhambu-carijo,midias.php?tm=s&t=s&s=10016,midias.php?tm=f&t=s&s=10016
10017,Tinamidae,Crypturellus bartletti,inhambu-anhangaí,12,6,/wiki/inhambu-anhangai,midias.php?tm=s&t=s&s=10017,midias.php?tm=f&t=s&s=10017
10018,Tinamidae,Crypturellus parvirostris,inhambu-chororó,865,3029,/wiki/inhambu-chororo,midias.php?tm=s&t=s&s=10018,midias.php?tm=f&t=s&s=10018
10019,Tinamidae,Crypturellus tataupa,inhambu-chintã,885,1817,/wiki/inhambu-chinta,midias.php?tm=s&t=s&s=10019,midias.php?tm=f&t=s&s=10019
10020,Tinamidae,Rhynchotus rufescens,perdiz,528,2320,/wiki/perdiz,midias.php?tm=s&t=s&s=10020,midias.php?tm=f&t=s&s=10020
10021,Tinamidae,Nothura boraquira,codorna-do-nordeste,194,1669,/wiki/codorna-do-nordeste,midias.php?tm=s&t=s&s=10021,midias.php?tm=f&t=s&s=10021
10022,Tinamidae,Nothura minor,codorna-mineira,29,30,/wiki/codorna-mineira,midias.php?tm=s&t=s&s=10022,midias.php?tm=f&t=s&s=10022
10023,Tinamidae,Nothura maculosa,codorna-amarela,407,4781,/wiki/codorna-amarela,midias.php?tm=s&t=s&s=10023,midias.php?tm=f&t=s&s=10023
10024,Tinamidae,Taoniscus nanus,codorna-carapé,36,25,/wiki/codorna-carape,midias.php?tm=s&t=s&s=10024,midias.php?tm=f&t=s&s=10024
10025,Anhimidae,Anhima cornuta,anhuma,272,6058,/wiki/anhuma,midias.php?tm=s&t=s&s=10025,midias.php?tm=f&t=s&s=10025
10026,Anhimidae,Chauna torquata,tachã,193,6210,/wiki/tacha,midias.php?tm=s&t=s&s=10026,midias.php?tm=f&t=s&s=10026
10027,Anatidae,Dendrocygna bicolor,marreca-caneleira,104,4430,/wiki/marreca-caneleira,midias.php?tm=s&t=s&s=10027,midias.php?tm=f&t=s&s=10027
10028,Anatidae,Dendrocygna viduata,irerê,404,16379,/wiki/irere,midias.php?tm=s&t=s&s=10028,midias.php?tm=f&t=s&s=10028
10029,Anatidae,Dendrocygna autumnalis,marreca-cabocla,303,11509,/wiki/marreca-cabocla,midias.php?tm=s&t=s&s=10029,midias.php?tm=f&t=s&s=10029
10030,Anatidae,Cygnus melancoryphus,cisne-de-pescoço-preto,10,1793,/wiki/cisne-de-pescoco-preto,midias.php?tm=s&t=s&s=10030,midias.php?tm=f&t=s&s=10030
10031,Anatidae,Coscoroba coscoroba,capororoca,55,3201,/wiki/capororoca,midias.php?tm=s&t=s&s=10031,midias.php?tm=f&t=s&s=10031
10032,Anatidae,Neochen jubata,pato-corredor,29,1032,/wiki/pato-corredor,midias.php?tm=s&t=s&s=10032,midias.php?tm=f&t=s&s=10032
11890,Anatidae,Chloephaga picta,ganso-de-magalhães,4,393,/wiki/ganso-de-magalhaes,midias.php?tm=s&t=s&s=11890,midias.php?tm=f&t=s&s=11890
10033,Anatidae,Cairina moschata,pato-do-mato,68,12271,/wiki/pato-do-mato,midias.php?tm=s&t=s&s=10033,midias.php?tm=f&t=s&s=10033
10034,Anatidae,Sarkidiornis sylvicola,pato-de-crista,10,2411,/wiki/pato-de-crista,midias.php?tm=s&t=s&s=10034,midias.php?tm=f&t=s&s=10034
10035,Anatidae,Callonetta leucophrys,marreca-de-coleira,12,3140,/wiki/marreca-de-coleira,midias.php?tm=s&t=s&s=10035,midias.php?tm=f&t=s&s=10035
10036,Anatidae,Amazonetta brasiliensis,marreca-ananaí,291,23270,/wiki/marreca-ananai,midias.php?tm=s&t=s&s=10036,midias.php?tm=f&t=s&s=10036
10042,Anatidae,Spatula versicolor,marreca-cricri,26,4740,/wiki/marreca-cricri,midias.php?tm=s&t=s&s=10042,midias.php?tm=f&t=s&s=10042
10045,Anatidae,Spatula platalea,marreca-colhereira,4,1142,/wiki/marreca-colhereira,midias.php?tm=s&t=s&s=10045,midias.php?tm=f&t=s&s=10045
10043,Anatidae,Spatula discors,marreca-de-asa-azul,3,218,/wiki/marreca-de-asa-azul,midias.php?tm=s&t=s&s=10043,midias.php?tm=f&t=s&s=10043
