id,Categoria,Nome do táxon,Ordem,Família,Subfamília,Gênero,Espécie,Nome em Português,English Name
4,Espécie,Rhea americana,Rheiformes,Rheidae,,Rhea,americana,ema,Greater Rhea
11,Espécie,Tinamus tao,Tinamiformes,Tinamidae,,Tinamus,tao,azulona,Gray Tinamou
14,Espécie,Tinamus solitarius,Tinamiformes,Tinamidae,,Tinamus,solitarius,macuco,Solitary Tinamou
15,Espécie,Tinamus major,Tinamiformes,Tinamidae,,Tinamus,major,inhambu-serra,Great Tinamou
20,Espécie,Tinamus guttatus,Tinamiformes,Tinamidae,,Tinamus,guttatus,inhambu-galinha,White-throated Tinamou
22,Espécie,Crypturellus cinereus,Tinamiformes,Tinamidae,,Crypturellus,cinereus,inhambu-pixuna,Cinereous Tinamou
23,Espécie,Crypturellus soui,Tinamiformes,Tinamidae,,Crypturellus,soui,tururim,Little Tinamou
27,Espécie,Crypturellus obsoletus,Tinamiformes,Tinamidae,,Crypturellus,obsoletus,inhambuguaçu,Brown Tinamou
32,Espécie,Crypturellus undulatus,Tinamiformes,Tinamidae,,Crypturellus,undulatus,jaó,Undulated Tinamou
38,Espécie,Crypturellus strigulosus,Tinamiformes,Tinamidae,,Crypturellus,strigulosus,inhambu-relógio,Brazilian Tinamou
39,Espécie,Crypturellus duidae,Tinamiformes,Tinamidae,,Crypturellus,duidae,inhambu-de-pé-cinza,Gray-legged Tinamou
40,Espécie,Crypturellus erythropus,Tinamiformes,Tinamidae,,Crypturellus,erythropus,inhambu-de-perna-vermelha,Red-legged Tinamou
42,Espécie,Crypturellus zabele,Tinamiformes,Tinamidae,,Crypturellus,zabele,zabelê,Zabele Tinamou
43,Espécie,Crypturellus noctivagus,Tinamiformes,Tinamidae,,Crypturellus,noctivagus,jaó-do-sul,Yellow-legged Tinamou
44,Espécie,Crypturellus atrocapillus,Tinamiformes,Tinamidae,,Crypturellus,atrocapillus,inhambu-de-coroa-preta,Black-capped Tinamou
47,Espécie,Crypturellus variegatus,Tinamiformes,Tinamidae,,Crypturellus,variegatus,inhambu-anhangá,Variegated Tinamou
48,Espécie,Crypturellus brevirostris,Tinamiformes,Tinamidae,,Crypturellus,brevirostris,inhambu-carijó,Rusty Tinamou
49,Espécie,Crypturellus bartletti,Tinamiformes,Tinamidae,,Crypturellus,bartletti,inhambu-anhangaí,Bartlett's Tinamou
50,Espécie,Crypturellus parvirostris,Tinamiformes,Tinamidae,,Crypturellus,parvirostris,inhambu-chororó,Small-billed Tinamou
51,Espécie,Crypturellus tataupa,Tinamiformes,Tinamidae,,Crypturellus,tataupa,inhambu-chintã,Tataupa Tinamou
55,Espécie,Rhynchotus rufescens,Tinamiformes,Tinamidae,,Rhynchotus,rufescens,perdiz,Red-winged Tinamou
59,Espécie,Nothura boraquira,Tinamiformes,Tinamidae,,Nothura,boraquira,codorna-do-nordeste,White-bellied Nothura
60,Espécie,Nothura minor,Tinamiformes,Tinamidae,,Nothura,minor,codorna-mineira,Lesser Nothura
61,Espécie,Nothura maculosa,Tinamiformes,Tinamidae,,Nothura,maculosa,codorna-amarela,Spotted Nothura
66,Espécie,Taoniscus nanus,Tinamiformes,Tinamidae,,Taoniscus,nanus,codorna-carapé,Dwarf Tinamou
70,Espécie,Anhima cornuta,Anseriformes,Anhimidae,,Anhima,cornuta,anhuma,Horned Screamer
72,Espécie,Chauna torquata,Anseriformes,Anhimidae,,Chauna,torquata,tachã,Southern Screamer
76,Espécie,Dendrocygna bicolor,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,bicolor,marreca-caneleira,Fulvous Whistling-Duck
77,Espécie,Dendrocygna viduata,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,viduata,irerê,White-faced Whistling-Duck
78,Espécie,Dendrocygna autumnalis,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,autumnalis,marreca-cabocla,Black-bellied Whistling-Duck
