Espécie,Nome Comum,Sons,Fotos
emaRhea americana,ema,0,21
jaóCrypturellus undulatus,jaó,2,6
inhambu-chororóCrypturellus parvirostris,inhambu-chororó,5,11
perdizRhynchotus rufescens,perdiz,2,2
codorna-amarelaNothura maculosa,codorna-amarela,2,17
anhumaAnhima cornuta,anhuma,0,4
irerêDendrocygna viduata,irerê,0,22
marreca-caboclaDendrocygna autumnalis,marreca-cabocla,1,28
pato-do-matoCairina moschata,pato-do-mato,1,30
pato-de-cristaSarkidiornis sylvicola,pato-de-crista,0,1
marreca-ananaíAmazonetta brasiliensis,marreca-ananaí,1,28
marreca-caucauNomonyx dominicus,marreca-caucau,0,17
jacupembaPenelope superciliaris,jacupemba,1,11
mutum-de-penachoCrax fasciolata,mutum-de-penacho,3,53
mergulhão-pequenoTachybaptus dominicus,mergulhão-pequeno,1,25
pombo-domésticoColumba livia,pombo-doméstico,2,29
pomba-asa-brancaPatagioenas picazuro,pomba-asa-branca,3,81
pomba-galegaPatagioenas cayennensis,pomba-galega,1,22
juriti-pupuLeptotila verreauxi,juriti-pupu,5,12
juriti-de-testa-brancaLeptotila rufaxilla,juriti-de-testa-branca,0,3
avoanteZenaida auriculata,avoante,2,131
pararu-azulClaravis pretiosa,pararu-azul,0,2
rolinha-de-asa-canelaColumbina minuta,rolinha-de-asa-canela,0,1
rolinha-roxaColumbina talpacoti,rolinha-roxa,3,39
rolinha-fogo-apagouColumbina squammata,rolinha-fogo-apagou,4,38
anu-brancoGuira guira,anu-branco,2,62
anu-pretoCrotophaga ani,anu-preto,1,64
saciTapera naevia,saci,5,8
alma-de-gatoPiaya cayana,alma-de-gato,5,56
papa-lagarta-acaneladoCoccyzus melacoryphus,papa-lagarta-acanelado,1,5
papa-lagarta-de-asa-vermelhaCoccyzus americanus,papa-lagarta-de-asa-vermelha,0,3
urutauNyctibius griseus,urutau,0,21
bacurauNyctidromus albicollis,bacurau,4,13
bacurau-chintãHydropsalis parvula,bacurau-chintã,2,8
curiango-do-banhadoHydropsalis anomala,curiango-do-banhado,0,2
bacurau-de-rabo-maculadoHydropsalis maculicaudus,bacurau-de-rabo-maculado,0,1
bacurau-tesouraHydropsalis torquata,bacurau-tesoura,0,5
bacurauzinhoNannochordeiles pusillus,bacurauzinho,0,3
corucãoPodager nacunda,corucão,0,4
bacurau-norte-americanoChordeiles minor,bacurau-norte-americano,0,1
taperuçu-pretoCypseloides fumigatus,taperuçu-preto,0,1
taperuçu-velhoCypseloides senex,taperuçu-velho,0,14
taperuçu-de-coleira-brancaStreptoprocne zonaris,taperuçu-de-coleira-branca,0,7
andorinhão-do-temporalChaetura meridionalis,andorinhão-do-temporal,0,1
andorinhão-do-buritiTachornis squamata,andorinhão-do-buriti,1,32
beija-flor-pretoFlorisuga fusca,beija-flor-preto,0,11
rabo-branco-acaneladoPhaethornis pretrei,rabo-branco-acanelado,0,20
beija-flor-de-orelha-violetaColibri serrirostris,beija-flor-de-orelha-violeta,0,12
chifre-de-ouroHeliactin bilophus,chifre-de-ouro,0,1
beija-flor-de-veste-pretaAnthracothorax nigricollis,beija-flor-de-veste-preta,0,28
bico-reto-de-banda-brancaHeliomaster squamosus,bico-reto-de-banda-branca,1,37
bico-reto-azulHeliomaster furcifer,bico-reto-azul,0,17
estrelinha-ametistaCalliphlox amethystina,estrelinha-ametista,0,10
besourinho-de-bico-vermelhoChlorostilbon lucidus,besourinho-de-bico-vermelho,1,50
beija-flor-tesoura-verdeThalurania furcata,beija-flor-tesoura-verde,0,51
beija-flor-tesouraEupetomena macroura,beija-flor-tesoura,2,90
beija-flor-cinzaAphantochroa cirrochloris,beija-flor-cinza,0,22
beija-flor-de-banda-brancaChrysuronia versicolor,beija-flor-de-banda-branca,0,2
beija-flor-de-garganta-verdeChionomesa fimbriata,beija-flor-de-garganta-verde,1,39
beija-flor-de-peito-azulChionomesa lactea,beija-flor-de-peito-azul,0,2
beija-flor-douradoHylocharis chrysura,beija-flor-dourado,0,5
carãoAramus guarauna,carão,3,11
frango-d'água-azulPorphyrio martinica,frango-d'água-azul,1,18
sanã-castanhaRufirallus viridis,sanã-castanha,3,15
sanã-pardaLaterallus melanophaius,sanã-parda,4,14
sanã-do-capimLaterallus exilis,sanã-do-capim,1,0
maxalalagáMicropygia schomburgkii,maxalalagá,1,0
sanã-carijóMustelirallus albicollis,sanã-carijó,2,6
saracura-sanãPardirallus nigricans,saracura-sanã,1,10
saracura-lisaAmaurolimnas concolor,saracura-lisa,3,1
saracura-três-potesAramides cajaneus,saracura-três-potes,6,37
galinha-d'águaGallinula galeata,galinha-d'água,0,7
picaparraHeliornis fulica,picaparra,1,0
quero-queroVanellus chilensis,quero-quero,3,73
narcejãoGallinago undulata,narcejão,1,0
narcejaGallinago paraguaiae,narceja,1,0
maçarico-pintadoActitis macularius,maçarico-pintado,0,1
maçarico-solitárioTringa solitaria,maçarico-solitário,0,9
jaçanãJacana jacana,jaçanã,1,15
