,taxonomia,ordem,familia,subfamilia,genero,especie,nome_pt,nome_eng,url_wikiaves
0,Rhea americana,Rheiformes,Rheidae,,Rhea,americana,ema,Greater Rhea,https://www.wikiaves.com.br/wiki/ema
1,Tinamus tao,Tinamiformes,Tinamidae,,Tinamus,tao,azulona,Gray Tinamou,https://www.wikiaves.com.br/wiki/azulona
2,Tinamus solitarius,Tinamiformes,Tinamidae,,Tinamus,solitarius,macuco,Solitary Tinamou,https://www.wikiaves.com.br/wiki/macuco
3,Tinamus major,Tinamiformes,Tinamidae,,Tinamus,major,inhambu-serra,Great Tinamou,https://www.wikiaves.com.br/wiki/inhambu-serra
4,Tinamus guttatus,Tinamiformes,Tinamidae,,Tinamus,guttatus,inhambu-galinha,White-throated Tinamou,https://www.wikiaves.com.br/wiki/inhambu-galinha
5,Crypturellus cinereus,Tinamiformes,Tinamidae,,Crypturellus,cinereus,inhambu-pixuna,Cinereous Tinamou,https://www.wikiaves.com.br/wiki/inhambu-pixuna
6,Crypturellus soui,Tinamiformes,Tinamidae,,Crypturellus,soui,tururim,Little Tinamou,https://www.wikiaves.com.br/wiki/tururim
7,Crypturellus obsoletus,Tinamiformes,Tinamidae,,Crypturellus,obsoletus,inhambuguaçu,Brown Tinamou,https://www.wikiaves.com.br/wiki/inhambuguacu
8,Crypturellus undulatus,Tinamiformes,Tinamidae,,Crypturellus,undulatus,jaó,Undulated Tinamou,https://www.wikiaves.com.br/wiki/jao
9,Crypturellus strigulosus,Tinamiformes,Tinamidae,,Crypturellus,strigulosus,inhambu-relógio,Brazilian Tinamou,https://www.wikiaves.com.br/wiki/inhambu-relogio
10,Crypturellus duidae,Tinamiformes,Tinamidae,,Crypturellus,duidae,inhambu-de-pé-cinza,Gray-legged Tinamou,https://www.wikiaves.com.br/wiki/inhambu-de-pe-cinza
11,Crypturellus erythropus,Tinamiformes,Tinamidae,,Crypturellus,erythropus,inhambu-de-perna-vermelha,Red-legged Tinamou,https://www.wikiaves.com.br/wiki/inhambu-de-perna-vermelha
12,Crypturellus zabele,Tinamiformes,Tinamidae,,Crypturellus,zabele,zabelê,Zabele Tinamou,https://www.wikiaves.com.br/wiki/zabele
13,Crypturellus noctivagus,Tinamiformes,Tinamidae,,Crypturellus,noctivagus,jaó-do-sul,Yellow-legged Tinamou,https://www.wikiaves.com.br/wiki/jao-do-sul
14,Crypturellus atrocapillus,Tinamiformes,Tinamidae,,Crypturellus,atrocapillus,inhambu-de-coroa-preta,Black-capped Tinamou,https://www.wikiaves.com.br/wiki/inhambu-de-coroa-preta
15,Crypturellus variegatus,Tinamiformes,Tinamidae,,Crypturellus,variegatus,inhambu-anhangá,Variegated Tinamou,https://www.wikiaves.com.br/wiki/inhambu-anhanga
16,Crypturellus brevirostris,Tinamiformes,Tinamidae,,Crypturellus,brevirostris,inhambu-carijó,Rusty Tinamou,https://www.wikiaves.com.br/wiki/inhambu-carijo
17,Crypturellus bartletti,Tinamiformes,Tinamidae,,Crypturellus,bartletti,inhambu-anhangaí,Bartlett's Tinamou,https://www.wikiaves.com.br/wiki/inhambu-anhangai
18,Crypturellus parvirostris,Tinamiformes,Tinamidae,,Crypturellus,parvirostris,inhambu-chororó,Small-billed Tinamou,https://www.wikiaves.com.br/wiki/inhambu-chororo
19,Crypturellus tataupa,Tinamiformes,Tinamidae,,Crypturellus,tataupa,inhambu-chintã,Tataupa Tinamou,https://www.wikiaves.com.br/wiki/inhambu-chinta
20,Rhynchotus rufescens,Tinamiformes,Tinamidae,,Rhynchotus,rufescens,perdiz,Red-winged Tinamou,https://www.wikiaves.com.br/wiki/perdiz
21,Nothura boraquira,Tinamiformes,Tinamidae,,Nothura,boraquira,codorna-do-nordeste,White-bellied Nothura,https://www.wikiaves.com.br/wiki/codorna-do-nordeste
22,Nothura minor,Tinamiformes,Tinamidae,,Nothura,minor,codorna-mineira,Lesser Nothura,https://www.wikiaves.com.br/wiki/codorna-mineira
23,Nothura maculosa,Tinamiformes,Tinamidae,,Nothura,maculosa,codorna-amarela,Spotted Nothura,https://www.wikiaves.com.br/wiki/codorna-amarela
24,Taoniscus nanus,Tinamiformes,Tinamidae,,Taoniscus,nanus,codorna-carapé,Dwarf Tinamou,https://www.wikiaves.com.br/wiki/codorna-carape
25,Anhima cornuta,Anseriformes,Anhimidae,,Anhima,cornuta,anhuma,Horned Screamer,https://www.wikiaves.com.br/wiki/anhuma
26,Chauna torquata,Anseriformes,Anhimidae,,Chauna,torquata,tachã,Southern Screamer,https://www.wikiaves.com.br/wiki/tacha
27,Dendrocygna bicolor,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,bicolor,marreca-caneleira,Fulvous Whistling-Duck,https://www.wikiaves.com.br/wiki/marreca-caneleira
28,Dendrocygna viduata,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,viduata,irerê,White-faced Whistling-Duck,https://www.wikiaves.com.br/wiki/irere
29,Dendrocygna autumnalis,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,autumnalis,marreca-cabocla,Black-bellied Whistling-Duck,https://www.wikiaves.com.br/wiki/marreca-cabocla
30,Cygnus melancoryphus,Anseriformes,Anatidae,Anserinae,Cygnus,melancoryphus,cisne-de-pescoço-preto,Black-necked Swan,https://www.wikiaves.com.br/wiki/cisne-de-pescoco-preto
31,Coscoroba coscoroba,Anseriformes,Anatidae,Anserinae,Coscoroba,coscoroba,capororoca,Coscoroba Swan,https://www.wikiaves.com.br/wiki/capororoca
32,Neochen jubata,Anseriformes,Anatidae,Anatinae,Neochen,jubata,pato-corredor,Orinoco Goose,https://www.wikiaves.com.br/wiki/pato-corredor
33,Chloephaga picta,Anseriformes,Anatidae,Anatinae,Chloephaga,picta,ganso-de-magalhães,Upland Goose,https://www.wikiaves.com.br/wiki/ganso-de-magalhaes
34,Cairina moschata,Anseriformes,Anatidae,Anatinae,Cairina,moschata,pato-do-mato,Muscovy Duck,https://www.wikiaves.com.br/wiki/pato-do-mato
35,Sarkidiornis sylvicola,Anseriformes,Anatidae,Anatinae,Sarkidiornis,sylvicola,pato-de-crista,Comb Duck,https://www.wikiaves.com.br/wiki/pato-de-crista
36,Callonetta leucophrys,Anseriformes,Anatidae,Anatinae,Callonetta,leucophrys,marreca-de-coleira,Ringed Teal,https://www.wikiaves.com.br/wiki/marreca-de-coleira
37,Amazonetta brasiliensis,Anseriformes,Anatidae,Anatinae,Amazonetta,brasiliensis,marreca-ananaí,Brazilian Teal,https://www.wikiaves.com.br/wiki/marreca-ananai
38,Spatula versicolor,Anseriformes,Anatidae,Anatinae,Spatula,versicolor,marreca-cricri,Silver Teal,https://www.wikiaves.com.br/wiki/marreca-cricri
39,Spatula platalea,Anseriformes,Anatidae,Anatinae,Spatula,platalea,marreca-colhereira,Red Shoveler,https://www.wikiaves.com.br/wiki/marreca-colhereira
40,Spatula discors,Anseriformes,Anatidae,Anatinae,Spatula,discors,marreca-de-asa-azul,Blue-winged Teal,https://www.wikiaves.com.br/wiki/marreca-de-asa-azul
41,Spatula cyanoptera,Anseriformes,Anatidae,Anatinae,Spatula,cyanoptera,marreca-colorada,Cinnamon Teal,https://www.wikiaves.com.br/wiki/marreca-colorada
42,Mareca sibilatrix,Anseriformes,Anatidae,Anatinae,Mareca,sibilatrix,marreca-oveira,Chiloe Wigeon,https://www.wikiaves.com.br/wiki/marreca-oveira
43,Anas bahamensis,Anseriformes,Anatidae,Anatinae,Anas,bahamensis,marreca-toicinho,White-cheeked Pintail,https://www.wikiaves.com.br/wiki/marreca-toicinho
44,Anas acuta,Anseriformes,Anatidae,Anatinae,Anas,acuta,arrabio,Northern Pintail,https://www.wikiaves.com.br/wiki/arrabio
45,Anas georgica,Anseriformes,Anatidae,Anatinae,Anas,georgica,marreca-parda,Yellow-billed Pintail,https://www.wikiaves.com.br/wiki/marreca-parda
46,Anas flavirostris,Anseriformes,Anatidae,Anatinae,Anas,flavirostris,marreca-pardinha,Yellow-billed Teal,https://www.wikiaves.com.br/wiki/marreca-pardinha
47,Netta erythrophthalma,Anseriformes,Anatidae,Anatinae,Netta,erythrophthalma,paturi-preta,Southern Pochard,https://www.wikiaves.com.br/wiki/paturi-preta
48,Netta peposaca,Anseriformes,Anatidae,Anatinae,Netta,peposaca,marrecão,Rosy-billed Pochard,https://www.wikiaves.com.br/wiki/marrecao
49,Mergus octosetaceus,Anseriformes,Anatidae,Anatinae,Mergus,octosetaceus,pato-mergulhão,Brazilian Merganser,https://www.wikiaves.com.br/wiki/pato-mergulhao
50,Heteronetta atricapilla,Anseriformes,Anatidae,Anatinae,Heteronetta,atricapilla,marreca-de-cabeça-preta,Black-headed Duck,https://www.wikiaves.com.br/wiki/marreca-de-cabeca-preta
51,Nomonyx dominicus,Anseriformes,Anatidae,Anatinae,Nomonyx,dominicus,marreca-caucau,Masked Duck,https://www.wikiaves.com.br/wiki/marreca-caucau
52,Oxyura vittata,Anseriformes,Anatidae,Anatinae,Oxyura,vittata,marreca-rabo-de-espinho,Lake Duck,https://www.wikiaves.com.br/wiki/marreca-rabo-de-espinho
53,Penelope marail,Galliformes,Cracidae,,Penelope,marail,jacumirim,Marail Guan,https://www.wikiaves.com.br/wiki/jacumirim
54,Penelope superciliaris,Galliformes,Cracidae,,Penelope,superciliaris,jacupemba,Rusty-margined Guan,https://www.wikiaves.com.br/wiki/jacupemba
55,Penelope jacquacu,Galliformes,Cracidae,,Penelope,jacquacu,jacu-de-spix,Spix's Guan,https://www.wikiaves.com.br/wiki/jacu-de-spix
56,Penelope obscura,Galliformes,Cracidae,,Penelope,obscura,jacuguaçu,Dusky-legged Guan,https://www.wikiaves.com.br/wiki/jacuguacu
57,Penelope pileata,Galliformes,Cracidae,,Penelope,pileata,jacupiranga,White-crested Guan,https://www.wikiaves.com.br/wiki/jacupiranga
58,Penelope ochrogaster,Galliformes,Cracidae,,Penelope,ochrogaster,jacu-de-barriga-castanha,Chestnut-bellied Guan,https://www.wikiaves.com.br/wiki/jacu-de-barriga-castanha
59,Penelope jacucaca,Galliformes,Cracidae,,Penelope,jacucaca,jacucaca,White-browed Guan,https://www.wikiaves.com.br/wiki/jacucaca
60,Aburria cumanensis,Galliformes,Cracidae,,Aburria,cumanensis,jacutinga-de-garganta-azul,Blue-throated Piping-Guan,https://www.wikiaves.com.br/wiki/jacutinga-de-garganta-azul
61,Aburria cujubi,Galliformes,Cracidae,,Aburria,cujubi,cujubi,Red-throated Piping-Guan,https://www.wikiaves.com.br/wiki/cujubi
62,Aburria jacutinga,Galliformes,Cracidae,,Aburria,jacutinga,jacutinga,Black-fronted Piping-Guan,https://www.wikiaves.com.br/wiki/jacutinga
63,Ortalis canicollis,Galliformes,Cracidae,,Ortalis,canicollis,aracuã-do-pantanal,Chaco Chachalaca,https://www.wikiaves.com.br/wiki/aracua-do-pantanal
64,Ortalis guttata,Galliformes,Cracidae,,Ortalis,guttata,aracuã-pintado,Speckled Chachalaca,https://www.wikiaves.com.br/wiki/aracua-pintado
65,Ortalis remota,Galliformes,Cracidae,,Ortalis,remota,aracuã-guarda-faca,Pinto's Chachalaca,https://www.wikiaves.com.br/wiki/aracua-guarda-faca
66,Ortalis araucuan,Galliformes,Cracidae,,Ortalis,araucuan,aracuã-de-barriga-branca,East Brazilian Chachalaca,https://www.wikiaves.com.br/wiki/aracua-de-barriga-branca
67,Ortalis squamata,Galliformes,Cracidae,,Ortalis,squamata,aracuã-escamoso,Scaled Chachalaca,https://www.wikiaves.com.br/wiki/aracua-escamoso
68,Ortalis motmot,Galliformes,Cracidae,,Ortalis,motmot,aracuã-pequeno,Variable Chachalaca,https://www.wikiaves.com.br/wiki/aracua-pequeno
69,Ortalis ruficeps,Galliformes,Cracidae,,Ortalis,ruficeps,aracuãzinho,Chestnut-headed Chachalaca,https://www.wikiaves.com.br/wiki/aracuazinho
70,Ortalis superciliaris,Galliformes,Cracidae,,Ortalis,superciliaris,aracuã-de-sobrancelhas,Buff-browed Chachalaca,https://www.wikiaves.com.br/wiki/aracua-de-sobrancelhas
71,Nothocrax urumutum,Galliformes,Cracidae,,Nothocrax,urumutum,urumutum,Nocturnal Curassow,https://www.wikiaves.com.br/wiki/urumutum
72,Crax alector,Galliformes,Cracidae,,Crax,alector,mutum-poranga,Black Curassow,https://www.wikiaves.com.br/wiki/mutum-poranga
73,Crax globulosa,Galliformes,Cracidae,,Crax,globulosa,mutum-de-fava,Wattled Curassow,https://www.wikiaves.com.br/wiki/mutum-de-fava
74,Crax fasciolata,Galliformes,Cracidae,,Crax,fasciolata,mutum-de-penacho,Bare-faced Curassow,https://www.wikiaves.com.br/wiki/mutum-de-penacho
75,Crax blumenbachii,Galliformes,Cracidae,,Crax,blumenbachii,mutum-de-bico-vermelho,Red-billed Curassow,https://www.wikiaves.com.br/wiki/mutum-de-bico-vermelho
76,Pauxi tomentosa,Galliformes,Cracidae,,Pauxi,tomentosa,mutum-do-norte,Crestless Curassow,https://www.wikiaves.com.br/wiki/mutum-do-norte
77,Pauxi tuberosa,Galliformes,Cracidae,,Pauxi,tuberosa,mutum-cavalo,Razor-billed Curassow,https://www.wikiaves.com.br/wiki/mutum-cavalo
79,Colinus cristatus,Galliformes,Odontophoridae,,Colinus,cristatus,uru-do-campo,Crested Bobwhite,https://www.wikiaves.com.br/wiki/uru-do-campo
80,Odontophorus gujanensis,Galliformes,Odontophoridae,,Odontophorus,gujanensis,uru-corcovado,Marbled Wood-Quail,https://www.wikiaves.com.br/wiki/uru-corcovado
81,Odontophorus capueira,Galliformes,Odontophoridae,,Odontophorus,capueira,uru,Spot-winged Wood-Quail,https://www.wikiaves.com.br/wiki/uru
82,Odontophorus stellatus,Galliformes,Odontophoridae,,Odontophorus,stellatus,uru-de-topete,Starred Wood-Quail,https://www.wikiaves.com.br/wiki/uru-de-topete
83,Phoenicopterus chilensis,Phoenicopteriformes,Phoenicopteridae,,Phoenicopterus,chilensis,flamingo-chileno,Chilean Flamingo,https://www.wikiaves.com.br/wiki/flamingo-chileno
84,Phoenicopterus ruber,Phoenicopteriformes,Phoenicopteridae,,Phoenicopterus,ruber,flamingo,American Flamingo,https://www.wikiaves.com.br/wiki/flamingo
85,Phoenicoparrus andinus,Phoenicopteriformes,Phoenicopteridae,,Phoenicoparrus,andinus,flamingo-dos-andes,Andean Flamingo,https://www.wikiaves.com.br/wiki/flamingo-dos-andes
86,Phoenicoparrus jamesi,Phoenicopteriformes,Phoenicopteridae,,Phoenicoparrus,jamesi,flamingo-da-puna,James's Flamingo,https://www.wikiaves.com.br/wiki/flamingo-da-puna
87,Rollandia rolland,Podicipediformes,Podicipedidae,,Rollandia,rolland,mergulhão-de-orelha-branca,White-tufted Grebe,https://www.wikiaves.com.br/wiki/mergulhao-de-orelha-branca
88,Tachybaptus dominicus,Podicipediformes,Podicipedidae,,Tachybaptus,dominicus,mergulhão-pequeno,Least Grebe,https://www.wikiaves.com.br/wiki/mergulhao-pequeno
89,Podilymbus podiceps,Podicipediformes,Podicipedidae,,Podilymbus,podiceps,mergulhão-caçador,Pied-billed Grebe,https://www.wikiaves.com.br/wiki/mergulhao-cacador
90,Podicephorus major,Podicipediformes,Podicipedidae,,Podicephorus,major,mergulhão-grande,Great Grebe,https://www.wikiaves.com.br/wiki/mergulhao-grande
91,Podiceps occipitalis,Podicipediformes,Podicipedidae,,Podiceps,occipitalis,mergulhão-de-orelha-amarela,Silvery Grebe,https://www.wikiaves.com.br/wiki/mergulhao-de-orelha-amarela
92,Columba livia,Columbiformes,Columbidae,Columbinae,Columba,livia,pombo-doméstico,Rock Pigeon,https://www.wikiaves.com.br/wiki/pombo-domestico
93,Patagioenas speciosa,Columbiformes,Columbidae,Columbinae,Patagioenas,speciosa,pomba-trocal,Scaled Pigeon,https://www.wikiaves.com.br/wiki/pomba-trocal
94,Patagioenas picazuro,Columbiformes,Columbidae,Columbinae,Patagioenas,picazuro,pomba-asa-branca,Picazuro Pigeon,https://www.wikiaves.com.br/wiki/pomba-asa-branca
95,Patagioenas maculosa,Columbiformes,Columbidae,Columbinae,Patagioenas,maculosa,pomba-do-orvalho,Spot-winged Pigeon,https://www.wikiaves.com.br/wiki/pomba-do-orvalho
96,Patagioenas fasciata,Columbiformes,Columbidae,Columbinae,Patagioenas,fasciata,pomba-de-coleira,Band-tailed Pigeon,https://www.wikiaves.com.br/wiki/pomba-de-coleira
97,Patagioenas cayennensis,Columbiformes,Columbidae,Columbinae,Patagioenas,cayennensis,pomba-galega,Pale-vented Pigeon,https://www.wikiaves.com.br/wiki/pomba-galega
98,Patagioenas plumbea,Columbiformes,Columbidae,Columbinae,Patagioenas,plumbea,pomba-amargosa,Plumbeous Pigeon,https://www.wikiaves.com.br/wiki/pomba-amargosa
99,Patagioenas subvinacea,Columbiformes,Columbidae,Columbinae,Patagioenas,subvinacea,pomba-botafogo,Ruddy Pigeon,https://www.wikiaves.com.br/wiki/pomba-botafogo
101,Geotrygon montana,Columbiformes,Columbidae,Columbinae,Geotrygon,montana,pariri,Ruddy Quail-Dove,https://www.wikiaves.com.br/wiki/pariri
102,Geotrygon violacea,Columbiformes,Columbidae,Columbinae,Geotrygon,violacea,juriti-vermelha,Violaceous Quail-Dove,https://www.wikiaves.com.br/wiki/juriti-vermelha
103,Leptotila verreauxi,Columbiformes,Columbidae,Columbinae,Leptotila,verreauxi,juriti-pupu,White-tipped Dove,https://www.wikiaves.com.br/wiki/juriti-pupu
104,Leptotila rufaxilla,Columbiformes,Columbidae,Columbinae,Leptotila,rufaxilla,juriti-de-testa-branca,Gray-fronted Dove,https://www.wikiaves.com.br/wiki/juriti-de-testa-branca
