"font-blue-soft href","d-block","font-blue-soft","font-blue","font-blue href","font-blue 2","font-blue href 2"
"","","","","","",""
"https://www.wikiaves.com.br/wiki/ema","ema","Rhea americana","22","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10001","6207","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10001"
"","","","","","",""
"https://www.wikiaves.com.br/wiki/azulona","azulona","Tinamus tao","38","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10002","145","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10002"
"https://www.wikiaves.com.br/wiki/macuco","macuco","Tinamus solitarius","248","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10003","1789","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10003"
"https://www.wikiaves.com.br/wiki/inhambu-serra","inhambu-serra","Tinamus major","31","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10004","159","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10004"
"https://www.wikiaves.com.br/wiki/inhambu-galinha","inhambu-galinha","Tinamus guttatus","35","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10005","61","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10005"
"https://www.wikiaves.com.br/wiki/inhambu-pixuna","inhambu-pixuna","Crypturellus cinereus","303","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10006","130","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10006"
"https://www.wikiaves.com.br/wiki/tururim","tururim","Crypturellus soui","374","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10007","339","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10007"
"https://www.wikiaves.com.br/wiki/inhambuguacu","inhambuguaçu","Crypturellus obsoletus","1030","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10008","2032","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10008"
"https://www.wikiaves.com.br/wiki/jao","jaó","Crypturellus undulatus","544","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10009","1318","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10009"
"https://www.wikiaves.com.br/wiki/inhambu-relogio","inhambu-relógio","Crypturellus strigulosus","108","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10010","96","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10010"
"https://www.wikiaves.com.br/wiki/inhambu-de-pe-cinza","inhambu-de-pé-cinza","Crypturellus duidae","13","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10011","5","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10011"
"https://www.wikiaves.com.br/wiki/inhambu-de-perna-vermelha","inhambu-de-perna-vermelha","Crypturellus erythropus","16","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10012","13","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10012"
"https://www.wikiaves.com.br/wiki/zabele","zabelê","Crypturellus zabele","113","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=12002","58","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=12002"
"https://www.wikiaves.com.br/wiki/jao-do-sul","jaó-do-sul","Crypturellus noctivagus","185","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10013","535","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10013"
"https://www.wikiaves.com.br/wiki/inhambu-de-coroa-preta","inhambu-de-coroa-preta","Crypturellus atrocapillus","19","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10014","13","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10014"
"https://www.wikiaves.com.br/wiki/inhambu-anhanga","inhambu-anhangá","Crypturellus variegatus","93","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10015","95","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10015"
"https://www.wikiaves.com.br/wiki/inhambu-carijo","inhambu-carijó","Crypturellus brevirostris","2","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10016","3","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10016"
"https://www.wikiaves.com.br/wiki/inhambu-anhangai","inhambu-anhangaí","Crypturellus bartletti","9","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10017","2","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10017"
"https://www.wikiaves.com.br/wiki/inhambu-chororo","inhambu-chororó","Crypturellus parvirostris","792","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10018","2800","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10018"
"https://www.wikiaves.com.br/wiki/inhambu-chinta","inhambu-chintã","Crypturellus tataupa","827","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10019","1655","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10019"
"https://www.wikiaves.com.br/wiki/perdiz","perdiz","Rhynchotus rufescens","490","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10020","2131","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10020"
"https://www.wikiaves.com.br/wiki/codorna-do-nordeste","codorna-do-nordeste","Nothura boraquira","175","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10021","1418","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10021"
"https://www.wikiaves.com.br/wiki/codorna-mineira","codorna-mineira","Nothura minor","28","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10022","25","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10022"
"https://www.wikiaves.com.br/wiki/codorna-amarela","codorna-amarela","Nothura maculosa","372","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10023","4424","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10023"
"https://www.wikiaves.com.br/wiki/codorna-carape","codorna-carapé","Taoniscus nanus","30","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10024","12","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10024"
"","","","","","",""
"https://www.wikiaves.com.br/wiki/anhuma","anhuma","Anhima cornuta","245","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10025","5225","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10025"
"https://www.wikiaves.com.br/wiki/tacha","tachã","Chauna torquata","173","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10026","5517","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10026"
"","","","","","",""
"https://www.wikiaves.com.br/wiki/marreca-caneleira","marreca-caneleira","Dendrocygna bicolor","89","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10027","3872","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10027"
"https://www.wikiaves.com.br/wiki/irere","irerê","Dendrocygna viduata","371","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10028","14656","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10028"
"https://www.wikiaves.com.br/wiki/marreca-cabocla","marreca-cabocla","Dendrocygna autumnalis","276","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10029","10022","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10029"
"https://www.wikiaves.com.br/wiki/cisne-de-pescoco-preto","cisne-de-pescoço-preto","Cygnus melancoryphus","10","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10030","1619","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10030"
"https://www.wikiaves.com.br/wiki/capororoca","capororoca","Coscoroba coscoroba","50","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10031","2880","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10031"
"https://www.wikiaves.com.br/wiki/pato-corredor","pato-corredor","Neochen jubata","28","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10032","912","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10032"
"https://www.wikiaves.com.br/wiki/ganso-de-magalhaes","ganso-de-magalhães","Chloephaga picta","4","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=11890","344","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=11890"
"https://www.wikiaves.com.br/wiki/pato-do-mato","pato-do-mato","Cairina moschata","63","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10033","10707","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10033"
"https://www.wikiaves.com.br/wiki/pato-de-crista","pato-de-crista","Sarkidiornis sylvicola","11","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10034","2129","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10034"
"https://www.wikiaves.com.br/wiki/marreca-de-coleira","marreca-de-coleira","Callonetta leucophrys","12","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10035","2679","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10035"
"https://www.wikiaves.com.br/wiki/marreca-ananai","marreca-ananaí","Amazonetta brasiliensis","273","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10036","20631","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10036"
"https://www.wikiaves.com.br/wiki/marreca-cricri","marreca-cricri","Spatula versicolor","25","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10042","4293","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10042"
"https://www.wikiaves.com.br/wiki/marreca-colhereira","marreca-colhereira","Spatula platalea","4","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10045","987","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10045"
"https://www.wikiaves.com.br/wiki/marreca-de-asa-azul","marreca-de-asa-azul","Spatula discors","3","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10043","195","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10043"
"https://www.wikiaves.com.br/wiki/marreca-colorada","marreca-colorada","Spatula cyanoptera","2","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10044","276","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10044"
"https://www.wikiaves.com.br/wiki/marreca-oveira","marreca-oveira","Mareca sibilatrix","7","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10037","457","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10037"
"https://www.wikiaves.com.br/wiki/marreca-toicinho","marreca-toicinho","Anas bahamensis","41","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10041","5615","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10041"
"https://www.wikiaves.com.br/wiki/arrabio","arrabio","Anas acuta","1","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10039","151","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10039"
"https://www.wikiaves.com.br/wiki/marreca-parda","marreca-parda","Anas georgica","31","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10040","2687","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10040"
"https://www.wikiaves.com.br/wiki/marreca-pardinha","marreca-pardinha","Anas flavirostris","48","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10038","3109","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10038"
"https://www.wikiaves.com.br/wiki/paturi-preta","paturi-preta","Netta erythrophthalma","11","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10046","1752","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10046"
"https://www.wikiaves.com.br/wiki/marrecao","marrecão","Netta peposaca","17","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10047","2186","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10047"
"https://www.wikiaves.com.br/wiki/pato-mergulhao","pato-mergulhão","Mergus octosetaceus","20","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10048","849","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10048"
"https://www.wikiaves.com.br/wiki/marreca-de-cabeca-preta","marreca-de-cabeça-preta","Heteronetta atricapilla","2","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10049","298","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10049"
"https://www.wikiaves.com.br/wiki/marreca-caucau","marreca-caucau","Nomonyx dominicus","46","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10050","4154","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10050"
"https://www.wikiaves.com.br/wiki/marreca-rabo-de-espinho","marreca-rabo-de-espinho","Oxyura vittata","2","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10051","415","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10051"
"","","","","","",""
"https://www.wikiaves.com.br/wiki/jacumirim","jacumirim","Penelope marail","12","https://www.wikiaves.com.br/midias.php?tm=s&t=s&s=10056","297","https://www.wikiaves.com.br/midias.php?tm=f&t=s&s=10056"
