,taxonomia,ordem,familia,subfamilia,genero,especie,nome_pt,nome_eng,url_wikiaves
0,Rhea americana,Rheiformes,Rheidae,,Rhea,americana,ema,Greater Rhea,https://www.wikiaves.com.br/wiki/ema
8,Crypturellus undulatus,Tinamiformes,Tinamidae,,Crypturellus,undulatus,jaó,Undulated Tinamou,https://www.wikiaves.com.br/wiki/jao
18,Crypturellus parvirostris,Tinamiformes,Tinamidae,,Crypturellus,parvirostris,inhambu-chororó,Small-billed Tinamou,https://www.wikiaves.com.br/wiki/inhambu-chororo
20,Rhynchotus rufescens,Tinamiformes,Tinamidae,,Rhynchotus,rufescens,perdiz,Red-winged Tinamou,https://www.wikiaves.com.br/wiki/perdiz
23,Nothura maculosa,Tinamiformes,Tinamidae,,Nothura,maculosa,codorna-amarela,Spotted Nothura,https://www.wikiaves.com.br/wiki/codorna-amarela
25,Anhima cornuta,Anseriformes,Anhimidae,,Anhima,cornuta,anhuma,Horned Screamer,https://www.wikiaves.com.br/wiki/anhuma
28,Dendrocygna viduata,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,viduata,irerê,White-faced Whistling-Duck,https://www.wikiaves.com.br/wiki/irere
29,Dendrocygna autumnalis,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,autumnalis,marreca-cabocla,Black-bellied Whistling-Duck,https://www.wikiaves.com.br/wiki/marreca-cabocla
34,Cairina moschata,Anseriformes,Anatidae,Anatinae,Cairina,moschata,pato-do-mato,Muscovy Duck,https://www.wikiaves.com.br/wiki/pato-do-mato
35,Sarkidiornis sylvicola,Anseriformes,Anatidae,Anatinae,Sarkidiornis,sylvicola,pato-de-crista,Comb Duck,https://www.wikiaves.com.br/wiki/pato-de-crista
37,Amazonetta brasiliensis,Anseriformes,Anatidae,Anatinae,Amazonetta,brasiliensis,marreca-ananaí,Brazilian Teal,https://www.wikiaves.com.br/wiki/marreca-ananai
51,Nomonyx dominicus,Anseriformes,Anatidae,Anatinae,Nomonyx,dominicus,marreca-caucau,Masked Duck,https://www.wikiaves.com.br/wiki/marreca-caucau
54,Penelope superciliaris,Galliformes,Cracidae,,Penelope,superciliaris,jacupemba,Rusty-margined Guan,https://www.wikiaves.com.br/wiki/jacupemba
74,Crax fasciolata,Galliformes,Cracidae,,Crax,fasciolata,mutum-de-penacho,Bare-faced Curassow,https://www.wikiaves.com.br/wiki/mutum-de-penacho
