"font-red","font-red href","font-blue-soft href","d-block","font-blue-soft","font-grey","font-blue","font-blue href","font-blue 2","font-blue href 2"
"Rheidae","https://www.wikiaves.com.br/wiki/rheidae","","","","","","","",""
"Rheidae","https://www.wikiaves.com.br/wiki/rheidae","https://www.wikiaves.com.br/wiki/ema","ema","Rhea americana","0","21","https://www.wikiaves.com.br/midias.php?tm=f&t=cs&c1=3170206&c2=&c3=&c4=&c5=&s=10001","",""
"Tinamidae","https://www.wikiaves.com.br/wiki/tinamidae","","","","","","","",""
"Tinamidae","https://www.wikiaves.com.br/wiki/tinamidae","https://www.wikiaves.com.br/wiki/jao","jaó","Crypturellus undulatus","","2","https://www.wikiaves.com.br/midias.php?tm=s&t=cs&c1=3170206&c2=&c3=&c4=&c5=&s=10009","6","https://www.wikiaves.com.br/midias.php?tm=f&t=cs&c1=3170206&c2=&c3=&c4=&c5=&s=10009"
"","","https://www.wikiaves.com.br/wiki/inhambu-chororo","inhambu-chororó","Crypturellus parvirostris","","5","https://www.wikiaves.com.br/midias.php?tm=s&t=cs&c1=3170206&c2=&c3=&c4=&c5=&s=10018","10","https://www.wikiaves.com.br/midias.php?tm=f&t=cs&c1=3170206&c2=&c3=&c4=&c5=&s=10018"
"","","https://www.wikiaves.com.br/wiki/perdiz","perdiz","Rhynchotus rufescens","","2","https://www.wikiaves.com.br/midias.php?tm=s&t=cs&c1=3170206&c2=&c3=&c4=&c5=&s=10020","2","https://www.wikiaves.com.br/midias.php?tm=f&t=cs&c1=3170206&c2=&c3=&c4=&c5=&s=10020"
"","","https://www.wikiaves.com.br/wiki/codorna-amarela","codorna-amarela","Nothura maculosa","","2","https://www.wikiaves.com.br/midias.php?tm=s&t=cs&c1=3170206&c2=&c3=&c4=&c5=&s=10023","16","https://www.wikiaves.com.br/midias.php?tm=f&t=cs&c1=3170206&c2=&c3=&c4=&c5=&s=10023"
"Anhimidae","https://www.wikiaves.com.br/wiki/anhimidae","","","","","","","",""
"Anhimidae","https://www.wikiaves.com.br/wiki/anhimidae","https://www.wikiaves.com.br/wiki/anhuma","anhuma","Anhima cornuta","0","3","https://www.wikiaves.com.br/midias.php?tm=f&t=cs&c1=3170206&c2=&c3=&c4=&c5=&s=10025","",""
"Anatidae","https://www.wikiaves.com.br/wiki/anatidae","","","","","","","",""
"Anatidae","https://www.wikiaves.com.br/wiki/anatidae","https://www.wikiaves.com.br/wiki/irere","irerê","Dendrocygna viduata","0","22","https://www.wikiaves.com.br/midias.php?tm=f&t=cs&c1=3170206&c2=&c3=&c4=&c5=&s=10028","",""
"","","https://www.wikiaves.com.br/wiki/marreca-cabocla","marreca-cabocla","Dendrocygna autumnalis","","1","https://www.wikiaves.com.br/midias.php?tm=s&t=cs&c1=3170206&c2=&c3=&c4=&c5=&s=10029","28","https://www.wikiaves.com.br/midias.php?tm=f&t=cs&c1=3170206&c2=&c3=&c4=&c5=&s=10029"
"","","https://www.wikiaves.com.br/wiki/pato-do-mato","pato-do-mato","Cairina moschata","","1","https://www.wikiaves.com.br/midias.php?tm=s&t=cs&c1=3170206&c2=&c3=&c4=&c5=&s=10033","26","https://www.wikiaves.com.br/midias.php?tm=f&t=cs&c1=3170206&c2=&c3=&c4=&c5=&s=10033"
"","","https://www.wikiaves.com.br/wiki/pato-de-crista","pato-de-crista","Sarkidiornis sylvicola","0","1","https://www.wikiaves.com.br/midias.php?tm=f&t=cs&c1=3170206&c2=&c3=&c4=&c5=&s=10034","",""
"","","https://www.wikiaves.com.br/wiki/marreca-ananai","marreca-ananaí","Amazonetta brasiliensis","","1","https://www.wikiaves.com.br/midias.php?tm=s&t=cs&c1=3170206&c2=&c3=&c4=&c5=&s=10036","27","https://www.wikiaves.com.br/midias.php?tm=f&t=cs&c1=3170206&c2=&c3=&c4=&c5=&s=10036"
"","","https://www.wikiaves.com.br/wiki/marreca-caucau","marreca-caucau","Nomonyx dominicus","0","17","https://www.wikiaves.com.br/midias.php?tm=f&t=cs&c1=3170206&c2=&c3=&c4=&c5=&s=10050","",""
"Cracidae","https://www.wikiaves.com.br/wiki/cracidae","","","","","","","",""
